IdentifiantImmeuble;CodeVoieRivoliImmeuble;CodeInseeImmeuble;CodePostalImmeuble;CommuneImmeuble;CodeAdresseImmeuble;TypeVoieImmeuble;NomVoieImmeuble;NumeroVoieImmeuble;ComplementNumeroVoieImmeuble;BatimentImmeuble;NombreLogementsAdresseIPE;EtatImmeuble;DateSignatureConvention;GestionnaireImmeuble;CodePostalGestionnaire;CommuneGestionnaire;TypeVoieGestionnaire;NomVoieGestionnaire;NumeroVoieGestionnaire;ComplementNumeroVoieGestionnaire;CodeAdresseGestionnaire;SiretGestionnaire;DateCablageAdresse;DateDerniereModification;ReferencePM;TypeIngenierie;FibreDedieeLibre;TypeImmeuble;TypeProjectionGeographique;CoordonneeImmeubleX;CoordonneeImmeubleY;AccordGestionnaireImmeubleNecessaire;TypeZone;DateMiseEnServiceCommercialeImmeuble;ImmeubleNeuf;DatePrevLivraisonImmeubleNeuf;CodeHexacleVoie;DateDebutAcceptationCmdAcces;DateDebutFournitureCRCmdAcces;ReferencePBO;DateMADPBO;NombrelogementsPBO;TypePBO;TypeRaccoPBPTO;ConditionsSyndic
IMB/01004/X/00YN;0550;01004;01500;Ambérieu-en-Bugey;01004224CP;Rue;de la République;121;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882189.97;6543019.58;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YO;0550;01004;01500;Ambérieu-en-Bugey;0100422ACT;Rue;de la République;123;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882186.08;6543031.60;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YP;0550;01004;01500;Ambérieu-en-Bugey;01004224CR;Rue;de la République;125;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882177.18;6543042.67;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YQ;0550;01004;01500;Ambérieu-en-Bugey;01004224CS;Rue;de la République;126;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882128.68;6543329.84;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00YR;0550;01004;01500;Ambérieu-en-Bugey;01004224CT;Rue;de la République;127;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882174.22;6543046.69;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YS;0550;01004;01500;Ambérieu-en-Bugey;01004224CU;Rue;de la République;128;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882125.82;6543344.85;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00YT;0550;01004;01500;Ambérieu-en-Bugey;01004224CV;Rue;de la République;129;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882170.28;6543053.72;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YU;0550;01004;01500;Ambérieu-en-Bugey;01004224CX;Rue;de la République;130;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882121.93;6543357.87;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00YV;0550;01004;01500;Ambérieu-en-Bugey;01004224CY;Rue;de la République;132;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882155.92;6543359.58;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00YW;0550;01004;01500;Ambérieu-en-Bugey;01004224CZ;Rue;de la République;133;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882158.40;6543066.81;N;3;;;;010042224L;;;;;;;aérien;
